num_nodes,num_edges,false_avg_degree,average_clustering,density,real_avg_degree,edge_cut,attribute_assortativity_coefficient,homophily_ratio,total
500,8,0.00010056495666503907,0.0011143207550048829,8.454322814941407e-05,0.575458812713623,0.0008641719818115235,0.000307464599609375,8.711814880371095e-05,0.578016996383667
625,18,0.00013403892517089842,0.0014519214630126951,0.00011425018310546876,0.0005755424499511719,0.001119709014892578,0.00034689903259277344,7.505416870117188e-05,0.0038174152374267573
781,20,0.00016207695007324218,0.0018065452575683593,0.0001385211944580078,0.000708627700805664,0.0013969421386718752,0.00040373802185058596,7.581710815429688e-05,0.004692268371582032
976,38,0.0002083301544189453,0.0022802352905273438,0.0001781940460205078,0.0008955478668212891,0.0017454624176025393,0.0005732059478759765,9.207725524902343e-05,0.005973052978515626
1220,55,0.0002511024475097656,0.0028898239135742186,0.00020947456359863282,0.001077747344970703,0.00211491584777832,0.0007173538208007812,8.373260498046876e-05,0.00734415054321289
1525,124,0.0002984046936035156,0.0034485816955566405,0.0002511978149414063,0.001322460174560547,0.0025760650634765623,0.0009434700012207031,8.573532104492188e-05,0.008925914764404295
1906,186,0.00038132667541503903,0.004543113708496094,0.00031342506408691404,0.001612091064453125,0.003183126449584961,0.0012288570404052734,8.831024169921874e-05,0.011350250244140625
2382,211,0.0005047321319580078,0.005789613723754883,0.00042095184326171873,0.0019725799560546876,0.004186582565307617,0.001487112045288086,8.983612060546874e-05,0.014451408386230468
2977,366,0.0006275653839111329,0.007491064071655273,0.0005215644836425781,0.0024023532867431642,0.005214834213256836,0.0019502639770507812,9.589195251464843e-05,0.018303537368774412
3721,544,0.0008018016815185547,0.009773635864257812,0.0006589889526367188,0.0029335498809814455,0.0065055847167968745,0.002577447891235351,0.00010819435119628905,0.023359203338623045
4651,722,0.0010395050048828125,0.013821029663085937,0.0008316516876220703,0.0035600662231445312,0.008203506469726562,0.0034203529357910156,0.00012269020080566407,0.030998802185058596
5813,1262,0.001417827606201172,0.016721010208129883,0.0010881423950195312,0.0041960239410400385,0.010969829559326173,0.0047743797302246095,0.00012869834899902345,0.03929591178894043
7266,2526,0.002141714096069336,0.02571291923522949,0.0015398979187011717,0.0053174495697021484,0.014677858352661131,0.0073208332061767585,0.00015702247619628904,0.05686769485473633
9082,3260,0.0026198863983154298,0.03427109718322754,0.0015750885009765626,0.006112384796142579,0.01677870750427246,0.009422922134399414,0.00018906593322753906,0.07096915245056153
11352,5024,0.0036018848419189457,0.04522485733032227,0.002309560775756836,0.0075563907623291005,0.022970294952392577,0.012977743148803712,0.00022354125976562498,0.09486427307128906
14190,8251,0.00474390983581543,0.08674368858337402,0.0030059337615966795,0.009353017807006836,0.02944965362548828,0.01938004493713379,0.0002988815307617188,0.15297513008117677
17737,11552,0.005924367904663086,0.12144694328308106,0.003820323944091797,0.011525726318359375,0.03623528480529785,0.027674102783203126,0.00038313865661621094,0.2070098876953125
22171,19705,0.007231521606445312,0.24939556121826173,0.0051138877868652345,0.01311178207397461,0.04411478042602539,0.04258141517639161,0.0008879661560058593,0.36243691444396975
27713,31088,0.009139394760131836,0.3477957725524902,0.006645536422729492,0.015879058837890623,0.05571732521057128,0.06140294075012207,0.0009801387786865234,0.49756016731262204
34641,47203,0.011362314224243164,0.6310132741928101,0.008581161499023438,0.01923966407775879,0.06872755289077759,0.09379041194915771,0.0010500550270080566,0.8337644338607788
43301,76579,0.014223814010620117,1.1926402250925698,0.011101802190144856,0.023164908091227215,0.08522860209147136,0.14382568995157877,0.0010235309600830078,1.4712085723876953
54126,119390,0.017453670501708984,2.109641472498576,0.013845682144165039,0.028012116750081376,0.10487675666809082,0.2174077033996582,0.0013890266418457031,2.4926264286041264
67657,188603,0.022015690803527832,4.648855090141296,0.017775416374206543,0.03371739387512207,0.13138794898986816,0.339596152305603,0.0020574331283569336,5.195405125617981
84571,294460,0.027660131454467773,8.09818184375763,0.022354960441589355,0.03996765613555908,0.1628408432006836,0.5269306898117065,0.002123713493347168,8.880059838294983
105713,443608,0.03160595893859863,12.902685642242432,0.02537059783935547,0.04211091995239258,0.19781279563903809,0.8037784099578857,0.0029282569885253906,14.006292581558228
132141,693949,0.04064440727233887,27.004961490631104,0.03288531303405762,0.05116629600524902,0.24603676795959473,1.2605235576629639,0.003748655319213867,28.63996648788452
165176,1106732,0.05260586738586426,66.97253918647766,0.04355478286743164,0.06479215621948242,0.3113880157470703,2.19264817237854,0.00689697265625,69.6444251537323
