num_nodes,num_edges,average_shortest_path_length,diameter,radius,node_connectivity,edge_connectivity,total
500,13,3.3950805664062495e-05,1.9073486328125e-05,1.6117095947265624e-05,0.0001308917999267578,7.891654968261719e-05,0.0002789497375488281
625,19,2.8753280639648436e-05,1.4638900756835935e-05,1.1682510375976562e-05,9.126663208007813e-05,5.974769592285157e-05,0.00020608901977539062
781,23,0.00010910034179687499,8.950233459472656e-05,8.540153503417968e-05,0.0005317687988281249,0.0002629280090332031,0.0010787010192871093
976,42,7.805824279785157e-05,5.612373352050781e-05,5.1641464233398436e-05,0.0005239486694335937,0.0002875328063964844,0.000997304916381836
1220,60,5.784034729003907e-05,3.5810470581054685e-05,3.1042098999023435e-05,0.0002803325653076172,0.00014805793762207029,0.0005530834197998046
1525,81,0.00024523735046386717,0.00021843910217285155,0.00021038055419921874,0.0012571334838867188,0.0005453109741210937,0.00247650146484375
1906,149,0.00040354728698730467,0.0003660678863525391,0.00035820007324218747,0.0020496368408203123,0.0008846282958984375,0.004062080383300781
2382,216,0.0011750221252441405,0.0011034488677978513,0.0011011600494384766,0.005871772766113281,0.00214080810546875,0.011392211914062499
2977,365,0.015636396408081052,0.015257596969604492,0.015247583389282227,0.07554068565368652,0.026028442382812503,0.1477107048034668
3721,642,0.05253663063049316,0.05156669616699219,0.051547670364379884,0.2458867073059082,0.07848091125488281,0.48001861572265625
4651,842,0.15012044906616212,0.14744815826416013,0.14747276306152346,0.7075604915618897,0.2250687599182129,1.3776706218719483
5813,1412,0.1970677375793457,0.1942476749420166,0.19451236724853516,0.9364849090576173,0.2631904125213623,1.7855031013488771
7266,2084,0.7758153438568116,0.7602157115936279,0.7609566211700439,3.3475597858428956,1.0687304496765138,6.713277912139892
9082,2979,1.6672072887420655,1.6573752880096433,1.6448610782623292,7.1930601596832275,2.0158952713012694,14.178399085998535
11352,4588,4.521044778823852,4.451426649093628,4.4545965671539305,19.95986957550049,5.477897834777832,38.86483540534974
14190,9479,12.266111850738525,12.149547719955443,12.13402633666992,60.54988851547242,14.341634225845338,111.44120864868164
17737,13043,29.544845056533813,29.20984787940979,29.210733556747435,160.541024017334,34.27802996635437,282.78448047637943
22171,21833,66.27445001602172,65.59385075569153,65.70921168327331,384.256103849411,86.02106881141663,667.8546851158142
27713,29373,164.8220290184021,164.3064374446869,164.1548264503479,869.3754432678222,202.88807845115664,1565.5468146324158
34641,44303,401.0289072394371,398.4597302079201,397.7982314825058,1933.7399916648865,459.55454552173615,3590.5814061164856
