function,time
false_avg_degree,0.026980970845077976
average_clustering,0.011758117964773466
density,0.000939383651271011
average_shortest_path_length,0.1265862493804007
diameter,0.12361097335815431
radius,0.1237354278564453
node_connectivity,0.5895998044447464
edge_connectivity,0.2571742895877722
real_avg_degree,0.0038173921180493908
edge_cut,0.008569782430475409
