num_nodes,num_edges,false_avg_degree,average_clustering,density,real_avg_degree,edge_cut,attribute_assortativity_coefficient,homophily_ratio,total
250,3,6.444454193115235e-05,0.0002681255340576172,5.3954124450683596e-05,0.00014426708221435545,0.0004317760467529297,0.0001720190048217774,7.72714614868164e-05,0.0012118577957153322
500,32,0.00012688636779785157,0.0005835056304931641,0.0001007080078125,0.00034971237182617186,0.000844883918762207,0.0002773284912109375,9.543895721435546e-05,0.0023784637451171875
750,88,0.00019209384918212892,0.000991654396057129,0.00014491081237792968,0.0005040884017944336,0.001252269744873047,0.0003873109817504882,0.00011649131774902343,0.0035888195037841798
1000,119,0.0002796649932861328,0.0014848947525024413,0.00019237995147705078,0.0006342887878417969,0.0016625165939331051,0.0005131483078002929,0.00012722015380859376,0.0048941135406494135
1250,170,0.00032191276550292964,0.0020679950714111326,0.00023968219757080077,0.0007189512252807617,0.002075099945068359,0.0006687402725219726,0.0001343965530395508,0.006226778030395507
1500,253,0.0003685951232910157,0.002706623077392578,0.00027954578399658203,0.0008250474929809569,0.002468585968017578,0.000798940658569336,0.00013692378997802733,0.0075842618942260735
1750,373,0.00043995380401611327,0.0034286975860595703,0.00032496452331542974,0.0009263277053833008,0.0028828620910644536,0.0009475469589233399,0.00013999938964843748,0.009090352058410644
2000,465,0.0004969437917073568,0.004330211215549045,0.0003743436601426867,0.0010084046257866754,0.003288533952501085,0.0011255741119384766,0.00014328956604003906,0.010767300923665363
2250,642,0.000555187463760376,0.005199819803237915,0.0004209280014038086,0.0011291801929473877,0.0036994516849517822,0.001287013292312622,0.00014325976371765137,0.012434840202331543
2500,772,0.0006100109645298549,0.006503002984183175,0.0004705360957554408,0.001208986554827009,0.004127059664045061,0.0015070097787039621,0.00015027182442801338,0.014576877866472517
2750,780,0.0006672654833112444,0.007450239998953684,0.0005046640123639788,0.0012786728995186944,0.0045201097215924945,0.00168851443699428,0.00020810535975864953,0.016317571912493025
3000,1035,0.0007303555806477865,0.008665283521016438,0.000552972157796224,0.0013840198516845703,0.004939516385396321,0.0018849770228068035,0.00022836526234944665,0.01838548978169759
3250,1117,0.0008087158203125,0.010098417599995932,0.0005985895792643229,0.0014853874842325847,0.00533747673034668,0.002136548360188802,0.00016482671101888022,0.020629962285359696
3500,1384,0.0008434772491455079,0.011459064483642579,0.0006433963775634766,0.0015678882598876955,0.005727195739746093,0.002381038665771484,0.00016608238220214844,0.022788143157958986
3750,1571,0.0009342670440673827,0.01324934959411621,0.0006910324096679688,0.001652050018310547,0.006164264678955078,0.00268707275390625,0.00017309188842773438,0.02555112838745117
4000,1786,0.0009755492210388184,0.016451358795166016,0.0007390379905700684,0.001742720603942871,0.0065860748291015625,0.002985656261444092,0.00017887353897094727,0.029659271240234375
4250,2107,0.0010699033737182617,0.017120718955993652,0.0007864832878112793,0.001735091209411621,0.007013082504272461,0.0032871365547180176,0.00019288063049316406,0.031205296516418457
