num_nodes,num_edges,false_avg_degree,average_clustering,density,real_avg_degree,edge_cut,attribute_assortativity_coefficient,homophily_ratio
250,3,0.12,0.0,0.00024096385542168674,4.732799999999999,1153.2,0.3935427635081332,0.6441441891441891
500,32,0.2192,0.0033666666666666662,0.00021963927855711419,4.4706,2125.7,0.6328112978861404,0.7795707722195137
750,88,0.3333333333333333,0.0012882539682539684,0.00022251891410769918,4.4348,3076.1000000000004,0.622740476146391,0.7645290858899246
1000,119,0.45199999999999996,0.0027533333333333333,0.00022622622622622623,4.467,4015.0,0.6852325550114539,0.8066168723148713
1250,170,0.57504,0.004526007326007326,0.00023020016012810247,4.51912,4930.1,0.695381693412316,0.8104612652801126
1500,253,0.6853333333333335,0.004304208384208384,0.00022859684233933738,4.482,5694.999999999999,0.6836301180879039,0.8012968954179158
1750,373,0.7904,0.005179285476428334,0.00022595769010863353,4.483828571428572,6463.5,0.6796930344651283,0.8005011068500743
2000,465,0.9217777777777778,0.0070421917588584255,0.00023055972430659774,4.517777777777777,7192.0,0.6764894179059961,0.7991566113848483
2250,642,1.01,0.006268922653236379,0.00022454424188528236,4.495166666666666,7841.625,0.6973586600265209,0.811905450264403
2500,772,1.1821714285714287,0.01035135236526214,0.00023652889727319496,4.536057142857143,8384.714285714284,0.6865338834047819,0.8036349753092321
2750,780,1.2585974025974025,0.010452649585533888,0.00022891913470305612,4.499792207792209,8913.285714285716,0.691375756101252,0.8059877213409307
3000,1035,1.3568888888888888,0.010071789569267641,0.00022622355600014822,4.507777777777778,9452.666666666666,0.6857271360143335,0.8025320828289654
3250,1117,1.4806153846153844,0.011769943397645359,0.00022785709212302008,4.497333333333334,9804.333333333332,0.6883796012175376,0.8045447985094912
3500,1384,1.5974857142857144,0.012029367595431927,0.00022827746703139675,4.496342857142857,10146.0,0.6902498237355442,0.8049391395115739
3750,1571,1.72224,0.012387752997593465,0.00022969325153374235,4.490186666666666,10379.8,0.6848925270974369,0.8035943026860396
4000,1786,1.8635000000000002,0.013778675141430274,0.00023299574893723428,4.515312499999999,10607.25,0.6893521203044318,0.8044593622352064
