num_nodes,num_edges,average_shortest_path_length,diameter,radius,node_connectivity,edge_connectivity
250,11,1.25,1.5999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
500,17,1.677142857142857,2.7000000000000006,1.6000000000000003,0.9999999999999999,0.9999999999999999
750,61,2.238023088023088,4.1,2.1999999999999997,0.9999999999999999,0.9999999999999999
1000,98,3.1551091796807906,6.6,3.599999999999999,0.9999999999999999,0.9999999999999999
1250,184,3.923006560490825,8.700000000000001,4.6,0.9999999999999999,0.9999999999999999
1500,246,5.118121798977522,11.499999999999998,5.999999999999999,0.9999999999999999,0.9999999999999999
1750,368,5.2516518816984865,12.4,6.5,0.9999999999999999,0.9999999999999999
2000,487,6.523021031120094,15.666666666666666,8.333333333333334,1.0000000000000002,1.0000000000000002
2250,581,7.315085346423605,17.625,9.125,1.0,1.0
2500,806,8.805695945891852,22.857142857142854,11.57142857142857,0.9999999999999998,0.9999999999999998
2750,772,9.097621769059987,25.28571428571429,13.0,0.9999999999999998,0.9999999999999998
3000,1078,9.942910516479964,27.833333333333332,14.333333333333332,0.9999999999999999,0.9999999999999999
3250,1200,9.905549483311015,26.0,13.666666666666666,0.9999999999999999,0.9999999999999999
3500,1413,11.448947215501624,30.200000000000003,15.8,1.0,1.0
3750,1652,10.243360353035346,28.2,15.0,1.0,1.0
4000,1851,10.131071457243282,27.75,14.5,1.0,1.0
4250,1951,10.489628354688472,28.75,15.0,1.0,1.0
4500,2443,10.632887103043856,29.75,15.75,1.0,1.0
4750,2652,9.93572446316715,29.0,14.75,1.0,1.0
5000,2940,9.44613296509823,27.666666666666664,14.333333333333332,1.0,1.0
5250,3007,9.688665303987976,29.33333333333333,15.333333333333332,1.0,1.0
