num_nodes,false_avg_degree,average_clustering,density,average_shortest_path_length,diameter,radius,node_connectivity,edge_connectivity,real_avg_degree,edge_cut,attribute_assortativity_coefficient,homophily_ratio,total
500,1.656938586714705e-06,1.644100663224621e-05,1.2569878933697763e-06,6.01689491046251e-07,3.2165346766364645e-07,2.638122739171135e-07,2.176098569610415e-06,1.287319251066129e-06,5.041353801298424e-06,1.2431624373035316e-05,4.065107311722795e-06,1.4812988642404771e-06,4.702489051593126e-05
625,2.7965616296838826e-06,2.6268429226345486e-05,2.1289896081995083e-06,7.51460040057147e-07,4.017794573748553e-07,3.284878200954861e-07,2.8769175211588537e-06,1.7775429619683158e-06,9.286845171893084e-06,2.0268228318956162e-05,5.839489124439381e-06,1.8614309805410883e-06,7.458616186071325e-05
781,4.4471687740749785e-06,4.1471587287055125e-05,3.2031977618182147e-06,1.1346958301685475e-06,6.413018261944806e-07,5.574138076217086e-07,4.9560158341019244e-06,2.5762452019585503e-06,1.562303966946072e-05,3.125380586694788e-05,9.312673851295753e-06,2.6844165943287038e-06,0.00011786156230502656
976,7.688654640506457e-06,6.50813813843479e-05,5.027462292268787e-06,1.8866765016765263e-06,1.2141431687195177e-06,1.0887322398279444e-06,8.842159557893786e-06,4.3190972653427565e-06,2.4441349713099484e-05,4.874488521862582e-05,1.4154897259839007e-05,3.642429506158553e-06,0.00018613186874830655
1220,1.2620635654615318e-05,0.00010281887607298035,7.90582186933877e-06,5.606291950612828e-06,4.561051078464674e-06,4.320904828500056e-06,2.86827916684358e-05,1.022435616755831e-05,3.8124512935030296e-05,7.68139742422795e-05,2.2694684457087863e-05,4.752822544263756e-06,0.00031912672346916764
1525,2.2299654848940737e-05,0.00016067908690856384,1.1792054047455659e-05,3.0904202847867404e-05,2.8852943901543143e-05,2.8618821152695665e-05,0.00015452316215446403,6.0515360789256055e-05,5.8453362267296596e-05,0.00011873674822283221,3.878275553385417e-05,6.19029139613246e-06,0.0007203484440709019
1906,3.5784461281516336e-05,0.0002490688454021107,1.7718835310502485e-05,0.00015211376276883212,0.000148364088752053,0.0001472939144481312,0.0008463642813942649,0.0002443302761424672,8.945031599564985e-05,0.00018104639920321378,6.448680704290217e-05,7.789243351329457e-06,0.0021838112310929732
2382,5.257633370412908e-05,0.0003899352651246836,2.7549098914777732e-05,8.49643223722216e-05,8.092128055196413e-05,8.044780140191737e-05,0.00043111787715428314,0.0001500828165403554,0.00013624782293615207,0.00028067575374119715,9.911161073496643e-05,9.791951783945864e-06,0.0018234219349605933
2977,8.375304085867745e-05,0.0006343211446489608,4.243424960545131e-05,0.0008401104382106236,0.0008188443524496897,0.0008179886000497,0.004013184990201678,0.0013221800327301025,0.00021028092929295132,0.0004462259156363351,0.00017539943967546733,1.2785196304321289e-05,0.009417508329663959
3721,0.0001297579871283637,0.0010770320892333984,6.641811794704861e-05,0.0048425515492757166,0.004738526874118381,0.004734261830647787,0.02351652251349555,0.007939137352837456,0.00032453536987304694,0.000704087151421441,0.0002955330742730035,1.648796929253472e-05,0.048384851879543736
4651,0.00020609299341837564,0.0016779436005486383,0.00010597043567233617,0.011531207296583388,0.01133160458670722,0.011333558294508193,0.06012762917412652,0.015432212087843154,0.0005048447185092503,0.001113765769534641,0.0004886256323920356,2.147091759575738e-05,0.11387492550743952
5813,0.0003218650817871093,0.0028934232119856213,0.00016069412231445312,0.04017382654650458,0.03946875703745875,0.03945507674381651,0.18042439427869073,0.057266671082069134,0.0007558362237338362,0.0017618721929089775,0.000835311823877795,2.855268017999057e-05,0.36354628102532743
7266,0.0005272886027460513,0.005163648854131284,0.0002560926520306131,0.16454474822334622,0.16149177758590036,0.161618595537932,0.7476042353588601,0.21234569342240045,0.0011902995731519616,0.0027758245882780657,0.0014674559883449388,3.9515287979789406e-05,1.4590251756751018
9082,0.0008044242858886719,0.008464588059319388,0.00039896700117323134,0.4723167154524061,0.46024273501502144,0.45980286598205566,2.045847005314297,0.5705083476172553,0.001807358529832628,0.004424571990966797,0.002488626374138726,5.625353919135199e-05,4.027162459161547
11352,0.0012954132897513252,0.014540961810520718,0.000667503901890346,1.4421760525022234,1.4250775064740862,1.4199968917029244,6.524597219058446,1.7259904486792428,0.0028691632407052176,0.007326534816196987,0.004344957215445383,8.155618395124163e-05,12.568964208875386
14190,0.0020759755914861507,0.028566230427135117,0.0011350458318536932,5.1370485045693135,5.063333034515381,5.059044967998158,25.102688637646764,5.967701261693781,0.004447460174560547,0.011885577982122248,0.0080053372816606,0.00013052333484996447,46.38606255704707
17737,0.003146939807467991,0.05577410591973198,0.001986053254869249,14.997296068403456,14.81920838356018,14.903022289276121,80.72725216547649,17.408629179000854,0.006680806477864583,0.018733898798624672,0.014155944188435873,0.00020628505282931856,142.95609211921692
22171,0.005060843058994839,0.11635204723903111,0.0034955910273960656,44.515638555799214,44.13436695507595,44.34940099716187,248.13856744766235,54.9101801259177,0.009555986949375699,0.03030688422066825,0.027679341179983958,0.0006441388811383929,436.24124891417364
